pair,depth_m,depth_cm,common_width_m,common_coverage_fraction,of_original_common_width_m,matched_width_m,matched_coverage_fraction,of_matched_integral_m2_per_s,piv_matched_integral_m2_per_s,of_matched_mean_u_m_per_s,piv_matched_mean_u_m_per_s,matched_integral_difference_of_minus_piv_m2_per_s,matched_mean_absolute_difference_m_per_s,matched_rms_difference_m_per_s,matched_supported_component_count,matched_longest_gap_m,of_common_integral_m2_per_s,piv_common_integral_m2_per_s,of_common_mean_u_m_per_s,piv_common_mean_u_m_per_s,common_available_at_depth,of_original_covered_integral_m2_per_s,of_original_coverage_fraction,of_original_common_integral_m2_per_s,piv_on_of_original_common_integral_m2_per_s,piv_on_of_original_common_available,piv_fraction_of_of_original_common_width,piv_own_integral_m2_per_s,piv_own_coverage_fraction,piv_own_mean_u_m_per_s,of_finite_dcor_matched_integral_m2_per_s,piv_finite_dcor_matched_integral_m2_per_s,finite_dcor_matched_coverage_fraction
80,0.0,0.0,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.0001,0.01,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.0002,0.02,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.00030000000000000003,0.030000000000000002,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.0004,0.04,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.0005,0.05,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.0006000000000000001,0.060000000000000005,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.0,nan,0.0,nan,nan,nan,0.0
80,0.0007,0.06999999999999999,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.26998223801065724,0.0015271604012794154,0.24804687499999997,0.0532031719726746,nan,nan,0.0
80,0.0008,0.08,0.0,0.0,0.06362412269623888,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0,0.11572131730186193,nan,nan,nan,nan,False,nan,0.0,nan,nan,False,0.3357015985790409,0.001953335648726016,0.32910156249999994,0.05129010204317794,nan,nan,0.0
80,0.0009000000000000001,0.09000000000000001,0.0,0.0,0.06362412269623888,0.010961882595977216,0.0947265625,0.0007367463845001996,0.000585664538857182,0.06720984083250173,0.053427368312821445,0.0001510818456430176,0.013964352190501237,0.018842678861983393,25,0.017403401234850378,nan,nan,nan,nan,False,0.0020397412927346164,0.2626953125,nan,nan,False,0.4209591474245116,0.0023249718287384783,0.38183593749999994,0.05261717478739985,0.00014133015143279773,0.00012331822085710835,0.01953125
80,0.001,0.1,0.0,0.0,0.06362412269623888,0.01842048312519883,0.15917968750000003,0.0011929883328221902,0.0010169974564957498,0.06476422603651517,0.05521014023266952,0.00017599087632644045,0.009830114027500001,0.014256444385586311,42,0.013787110069167193,nan,nan,nan,nan,False,0.0036640643017455798,0.48730468749999994,nan,nan,False,0.33037300177619894,0.0017783611873206815,0.2900390625,0.05298465488423122,0.0002263818910623703,0.00021009260853993507,0.031249999999999997
80,0.0011,0.11,0.0,0.0,0.06362412269623888,0.01988960141125763,0.171875,0.0012414718481071011,0.0010655042260453232,0.06241813611229137,0.053570918995000154,0.00017596762206177792,0.009070514097380099,0.013807901105549455,43,0.013787110069167193,nan,nan,nan,nan,False,0.004201778002986985,0.5800781249999998,nan,nan,False,0.31261101243339257,0.0016769560658640554,0.28027343749999994,0.05170426584892271,0.00024035190324107018,0.0002294310421558358,0.0341796875
80,0.0011300909892760017,0.11300909892760017,0.0,0.0,0.06362412269623888,0.02124571059838883,0.18359375,0.0013165282256323127,0.0011259293684343706,0.061966777695454056,0.0529956088416151,0.00019059885719794212,0.009267100785657456,0.01424417877127707,45,0.011752946288470402,nan,nan,nan,nan,False,0.004276954782645499,0.5976562499999999,0.003924588420861553,nan,False,0.3161634103019539,0.0016793909926936569,0.28320312499999994,0.05124369168531829,0.0003857294996023854,0.0003595638562116517,0.05566406250000001
80,0.0012000000000000001,0.12000000000000001,0.0,0.0,0.06362412269623888,0.02124571059838883,0.18359375,0.001280187874293016,0.0011085235801657134,0.06025629824733182,0.05217634755176315,0.00017166429412730257,0.008384488089192408,0.013015238425048462,53,0.007345591430294019,nan,nan,nan,nan,False,0.004530849360560001,0.6513671874999999,0.0038100086094156366,nan,False,0.28952042628774427,0.0015191410878093157,0.2578125,0.05091910613316676,0.00040505760943857015,0.000388235977431136,0.06054687500000001
